label,difficulty,idx,ssim,clip
easy/0,easy,0,0.9427917755734427,0.8915853500366211
easy/1,easy,1,0.9120905895166651,0.7947956323623657
easy/2,easy,2,0.9318461736602244,0.8883740305900574
easy/3,easy,3,0.9350148099373887,0.8020967245101929
easy/4,easy,4,0.6256432816985582,0.8048102259635925
medium/0,medium,0,0.8832558566862674,0.9182872772216797
medium/1,medium,1,0.9185009278118388,0.47530487179756165
medium/2,medium,2,0.9150017536777547,0.8798952102661133
medium/3,medium,3,0.846940409451553,0.854889988899231
medium/4,medium,4,0.9304660562524116,0.8938372731208801
hard/0,hard,0,0.9162521972739228,0.6690332889556885
hard/1,hard,1,0.9180029304761667,0.620103120803833
hard/2,hard,2,0.9115933024711833,0.8051344752311707
hard/3,hard,3,0.8873093235458529,0.9291220307350159
hard/4,hard,4,0.9491442474682501,0.6367676854133606
